STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/22/10,,,,,,,70,",,U",79,"H,,U",63,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/23/10,,,,,,,60,",,U",63,"H,,U",57,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/24/10,,,,,,,67,",,U",77,"H,,U",59,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/25/10,,,,,,,69,",,U",78,"H,,U",59,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/26/10,,,,,,,65,",,U",76,"H,,U",59,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/27/10,,,,,,,65,",,U",74,"H,,U",59,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/28/10,,,,,,,62,",,U",68,"H,,U",58,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/29/10,,,,,,,64,",,U",74,"H,,U",57,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/30/10,,,,,,,62,",,U",72,"H,,U",54,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/1/10,,,,,,,59,",,U",68,"H,,U",51,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/2/10,,,,,,,63,",,U",76,"H,,U",50,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/3/10,,,,,,,68,",,U",77,"H,,U",58,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/4/10,,,,,,,77,",,U",89,"H,,U",63,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/5/10,,,,,,,76,",,U",84,"H,,U",71,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/6/10,,,,,,,74,",,U",86,"H,,U",63,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/7/10,,,,,,,72,",,U",83,"H,,U",62,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/8/10,,,,,,,71,",,U",76,"H,,U",64,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,7/9/10,,,,,,,71,",,U",79,"H,,U",67,"H,,U",,
