Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),107,0.132,0.120,0.152,0.231,0.131,0.113,0.063,0.033,0.025,0.082,0.376,0.288,0.179,0.075,0.939,0.011,0.003,0.011,0.000,0.006,0.030,0.035,0.352,0.648,0.128,0.288,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),116,0.201,0.152,0.130,0.185,0.094,0.045,0.036,0.034,0.123,0.087,0.275,0.245,0.212,0.181,0.896,0.022,0.003,0.058,0.000,0.009,0.012,0.020,0.298,0.702,0.135,0.213,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),298,0.139,0.119,0.135,0.186,0.139,0.068,0.065,0.098,0.051,0.094,0.272,0.236,0.223,0.175,0.823,0.063,0.002,0.066,0.000,0.024,0.022,0.053,0.284,0.716,0.114,0.229,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),133,0.196,0.157,0.142,0.190,0.114,0.082,0.042,0.053,0.024,0.114,0.296,0.288,0.198,0.104,0.866,0.052,0.009,0.027,0.000,0.018,0.028,0.116,0.310,0.690,0.134,0.243,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),204,0.117,0.152,0.129,0.228,0.122,0.092,0.067,0.066,0.027,0.093,0.330,0.250,0.221,0.106,0.812,0.076,0.002,0.036,0.000,0.035,0.039,0.089,0.338,0.662,0.135,0.258,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),293,0.145,0.136,0.135,0.215,0.135,0.090,0.053,0.056,0.035,0.113,0.297,0.258,0.201,0.131,0.855,0.040,0.004,0.043,0.000,0.033,0.025,0.074,0.309,0.691,0.113,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),236,0.156,0.144,0.128,0.191,0.141,0.104,0.046,0.045,0.045,0.107,0.323,0.275,0.188,0.107,0.871,0.022,0.006,0.046,0.000,0.037,0.018,0.083,0.357,0.643,0.119,0.298,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),239,0.163,0.160,0.142,0.219,0.131,0.080,0.042,0.037,0.026,0.075,0.295,0.293,0.201,0.136,0.909,0.026,0.003,0.037,0.000,0.005,0.020,0.024,0.255,0.745,0.103,0.194,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),153,0.139,0.143,0.124,0.182,0.166,0.100,0.048,0.065,0.033,0.097,0.269,0.279,0.201,0.154,0.817,0.045,0.002,0.070,0.001,0.032,0.033,0.104,0.366,0.634,0.157,0.274,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),59,0.145,0.110,0.095,0.144,0.131,0.080,0.069,0.087,0.139,0.056,0.221,0.186,0.261,0.276,0.632,0.016,0.002,0.331,0.000,0.007,0.012,0.021,0.271,0.729,0.148,0.153,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),34,0.198,0.180,0.177,0.174,0.112,0.067,0.045,0.030,0.017,0.090,0.449,0.281,0.118,0.062,0.961,0.003,0.015,0.010,0.000,0.000,0.011,0.002,0.347,0.653,0.099,0.269,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),55,0.065,0.204,0.074,0.198,0.188,0.073,0.086,0.054,0.058,0.051,0.339,0.287,0.206,0.117,0.971,0.011,0.001,0.006,0.004,0.004,0.003,0.024,0.303,0.697,0.163,0.220,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),14,0.072,0.076,0.107,0.153,0.180,0.220,0.063,0.067,0.062,0.062,0.214,0.299,0.220,0.205,0.982,0.015,0.000,0.000,0.000,0.000,0.003,0.032,0.308,0.692,0.050,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),2471,0.145,0.132,0.121,0.181,0.134,0.105,0.064,0.063,0.055,0.091,0.275,0.252,0.227,0.155,0.881,0.030,0.003,0.053,0.001,0.015,0.017,0.060,0.300,0.700,0.116,0.236,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),117,0.171,0.104,0.104,0.175,0.150,0.114,0.081,0.063,0.038,0.087,0.271,0.239,0.219,0.184,0.885,0.031,0.002,0.052,0.000,0.014,0.016,0.061,0.316,0.684,0.114,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),244,0.110,0.113,0.113,0.183,0.134,0.118,0.098,0.074,0.057,0.078,0.268,0.248,0.259,0.147,0.897,0.018,0.004,0.058,0.000,0.009,0.014,0.041,0.383,0.617,0.126,0.311,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),115,0.129,0.116,0.097,0.186,0.155,0.136,0.059,0.086,0.036,0.074,0.246,0.252,0.264,0.164,0.857,0.040,0.003,0.060,0.001,0.010,0.029,0.054,0.373,0.627,0.161,0.290,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),21,0.077,0.067,0.091,0.362,0.201,0.126,0.034,0.026,0.016,0.107,0.293,0.162,0.177,0.261,0.488,0.364,0.010,0.069,0.000,0.056,0.013,0.126,0.365,0.635,0.189,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),15,0.249,0.093,0.109,0.169,0.169,0.088,0.043,0.054,0.026,0.061,0.370,0.238,0.207,0.124,0.925,0.000,0.004,0.035,0.000,0.018,0.018,0.060,0.374,0.626,0.191,0.290,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),82,0.123,0.090,0.138,0.127,0.124,0.119,0.074,0.108,0.097,0.102,0.182,0.284,0.222,0.210,0.958,0.013,0.000,0.017,0.000,0.003,0.009,0.021,0.224,0.776,0.084,0.174,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),243,0.206,0.156,0.122,0.165,0.117,0.080,0.047,0.065,0.042,0.114,0.267,0.237,0.203,0.179,0.796,0.056,0.003,0.103,0.000,0.016,0.026,0.053,0.285,0.715,0.120,0.207,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),213,0.140,0.126,0.151,0.197,0.126,0.086,0.058,0.055,0.061,0.081,0.297,0.267,0.212,0.143,0.886,0.024,0.001,0.044,0.005,0.020,0.020,0.067,0.323,0.677,0.134,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),243,0.101,0.121,0.094,0.216,0.151,0.112,0.074,0.070,0.061,0.073,0.269,0.261,0.223,0.174,0.939,0.019,0.002,0.016,0.000,0.009,0.015,0.063,0.302,0.698,0.103,0.255,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),182,0.172,0.136,0.134,0.220,0.134,0.093,0.043,0.036,0.032,0.108,0.313,0.260,0.194,0.125,0.892,0.026,0.018,0.039,0.001,0.007,0.017,0.046,0.281,0.719,0.113,0.224,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),250,0.128,0.133,0.135,0.180,0.122,0.106,0.054,0.058,0.084,0.096,0.246,0.246,0.263,0.149,0.857,0.042,0.003,0.047,0.000,0.036,0.015,0.122,0.299,0.701,0.125,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),228,0.128,0.150,0.125,0.151,0.124,0.097,0.071,0.070,0.084,0.076,0.288,0.270,0.207,0.159,0.914,0.018,0.002,0.036,0.000,0.013,0.017,0.072,0.275,0.725,0.097,0.219,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),125,0.140,0.138,0.116,0.175,0.158,0.127,0.052,0.049,0.045,0.068,0.279,0.292,0.222,0.139,0.958,0.010,0.001,0.012,0.000,0.007,0.012,0.022,0.265,0.735,0.091,0.219,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),154,0.146,0.167,0.115,0.156,0.144,0.140,0.053,0.061,0.018,0.054,0.305,0.240,0.280,0.121,0.881,0.033,0.002,0.071,0.000,0.005,0.008,0.032,0.323,0.677,0.118,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),56,0.161,0.093,0.101,0.211,0.166,0.079,0.077,0.058,0.054,0.088,0.245,0.187,0.280,0.200,0.759,0.071,0.000,0.103,0.000,0.044,0.023,0.138,0.177,0.823,0.096,0.101,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),123,0.182,0.154,0.119,0.200,0.100,0.079,0.063,0.066,0.037,0.160,0.332,0.204,0.183,0.121,0.836,0.004,0.002,0.140,0.001,0.002,0.015,0.011,0.299,0.701,0.145,0.195,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),46,0.237,0.168,0.151,0.208,0.120,0.056,0.026,0.023,0.011,0.179,0.325,0.276,0.153,0.067,0.860,0.055,0.002,0.025,0.000,0.030,0.028,0.102,0.272,0.728,0.105,0.219,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),15,0.093,0.115,0.131,0.056,0.136,0.196,0.147,0.071,0.055,0.161,0.233,0.174,0.216,0.216,0.758,0.048,0.000,0.156,0.001,0.020,0.017,0.070,0.111,0.889,0.046,0.077,0.000,0.000,1.000
