Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),05: 4am (4am-5am),172,2022,2074,13.2,13.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),06: 5am (5am-6am),100,2357,2357,16.4,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),07: 6am (6am-7am),101,2542,2542,18.1,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),08: 7am (7am-8am),97,3208,3163,21.2,20.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),09: 8am (8am-9am),216,2752,2824,15.2,15.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),10: 9am (9am-10am),323,2887,2931,16.5,16.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),11: 10am (10am-11am),328,2669,2802,15.8,15.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),12: 11am (11am-12noon),332,2802,2862,15.8,15.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),13: 12pm (12noon-1pm),292,3167,3206,22.1,21.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),14: 1pm (1pm-2pm),359,2374,2526,12.0,12.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),15: 2pm (2pm-3pm),318,2513,2552,12.8,12.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),16: 3pm (3pm-4pm),254,2185,2259,9.2,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),17: 4pm (4pm-5pm),219,2239,2358,10.3,11.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),18: 5pm (5pm-6pm),219,3233,3200,19.5,18.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),19: 6pm (6pm-7pm),189,2038,2428,7.6,11.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),20: 7pm (7pm-8pm),109,2344,2349,11.4,11.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),21: 8pm (8pm-9pm),21,2452,2452,13.2,13.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),22: 9pm (9pm-10pm),20,1883,1883,11.5,11.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),23: 10pm (10pm-11pm),7,2569,2865,16.1,15.1
