Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),107,1082,1082,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),98,1390,1390,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),173,1500,1500,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),254,1877,1877,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),121,2252,2252,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),153,1498,1498,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),98,2508,2508,0.9,0.9
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),105,1298,1298,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),89,1373,1373,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),36,1452,1452,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),36,1012,1012,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),18,1356,1356,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),8,136,136,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),8,295,295,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),1764,1690,1690,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),9,1045,1045,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),63,1027,1027,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),98,1752,1752,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),18,4123,4123,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),8,481,481,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),141,1196,1196,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),149,2094,2094,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),246,1610,1610,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),159,1561,1561,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),213,1777,1777,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),207,2168,2168,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),109,1287,1287,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),155,1627,1627,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),93,1804,1804,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),62,987,987,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),18,2008,2008,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),17,2907,2907,0.1,0.1
