,Year,Month,Day,DOW,Day Part,Count
410,2019.0,MAY,17.0,Fri,11:00,49.0
411,2019.0,MAY,17.0,Fri,12:00,55.0
412,2019.0,MAY,17.0,Fri,13:00,40.0
413,2019.0,MAY,17.0,Fri,14:00,31.0
414,2019.0,MAY,17.0,Fri,15:00,40.0
415,2019.0,MAY,17.0,Fri,16:00,23.0
416,2019.0,MAY,17.0,Fri,17:00,22.0
417,2019.0,MAY,17.0,Fri,18:00,19.0
418,2019.0,MAY,17.0,Fri,19:00,8.0
419,2019.0,MAY,17.0,Fri,20:00,5.0
420,2019.0,MAY,17.0,Fri,21:00,0.0
421,2019.0,MAY,17.0,Fri,22:00,2.0
422,2019.0,MAY,17.0,Fri,23:00,1.0
423,2019.0,MAY,17.0,Fri,24:00,0.0
424,2019.0,MAY,17.0,Fri,Total,415.0
425,2019.0,MAY,18.0,Sat,1:00,0.0
426,2019.0,MAY,18.0,Sat,2:00,0.0
427,2019.0,MAY,18.0,Sat,3:00,0.0
428,2019.0,MAY,18.0,Sat,4:00,6.0
429,2019.0,MAY,18.0,Sat,5:00,59.0
430,2019.0,MAY,18.0,Sat,6:00,8.0
431,2019.0,MAY,18.0,Sat,7:00,8.0
432,2019.0,MAY,18.0,Sat,8:00,6.0
433,2019.0,MAY,18.0,Sat,9:00,50.0
434,2019.0,MAY,18.0,Sat,10:00,67.0
435,2019.0,MAY,18.0,Sat,11:00,112.0
436,2019.0,MAY,18.0,Sat,12:00,99.0
437,2019.0,MAY,18.0,Sat,13:00,144.0
438,2019.0,MAY,18.0,Sat,14:00,150.0
439,2019.0,MAY,18.0,Sat,15:00,119.0
440,2019.0,MAY,18.0,Sat,16:00,128.0
441,2019.0,MAY,18.0,Sat,17:00,111.0
442,2019.0,MAY,18.0,Sat,18:00,63.0
443,2019.0,MAY,18.0,Sat,19:00,73.0
444,2019.0,MAY,18.0,Sat,20:00,90.0
445,2019.0,MAY,18.0,Sat,21:00,17.0
446,2019.0,MAY,18.0,Sat,22:00,8.0
447,2019.0,MAY,18.0,Sat,23:00,3.0
448,2019.0,MAY,18.0,Sat,24:00,2.0
449,2019.0,MAY,18.0,Sat,Total,1323.0
450,2019.0,MAY,19.0,Sun,1:00,7.0
451,2019.0,MAY,19.0,Sun,2:00,0.0
452,2019.0,MAY,19.0,Sun,3:00,2.0
453,2019.0,MAY,19.0,Sun,4:00,5.0
454,2019.0,MAY,19.0,Sun,5:00,38.0
455,2019.0,MAY,19.0,Sun,6:00,9.0
456,2019.0,MAY,19.0,Sun,7:00,6.0
457,2019.0,MAY,19.0,Sun,8:00,14.0
458,2019.0,MAY,19.0,Sun,9:00,24.0
459,2019.0,MAY,19.0,Sun,10:00,43.0
460,2019.0,MAY,19.0,Sun,11:00,76.0
461,2019.0,MAY,19.0,Sun,12:00,94.0
462,2019.0,MAY,19.0,Sun,13:00,61.0
463,2019.0,MAY,19.0,Sun,14:00,65.0
464,2019.0,MAY,19.0,Sun,15:00,69.0
465,2019.0,MAY,19.0,Sun,16:00,41.0
466,2019.0,MAY,19.0,Sun,17:00,27.0
467,2019.0,MAY,19.0,Sun,18:00,19.0
468,2019.0,MAY,19.0,Sun,19:00,22.0
469,2019.0,MAY,19.0,Sun,20:00,12.0
470,2019.0,MAY,19.0,Sun,21:00,4.0
471,2019.0,MAY,19.0,Sun,22:00,2.0
472,2019.0,MAY,19.0,Sun,23:00,0.0
473,2019.0,MAY,19.0,Sun,24:00,0.0
474,2019.0,MAY,19.0,Sun,Total,640.0
475,2019.0,MAY,20.0,Mon,1:00,0.0
476,2019.0,MAY,20.0,Mon,2:00,0.0
477,2019.0,MAY,20.0,Mon,3:00,0.0
478,2019.0,MAY,20.0,Mon,4:00,1.0
479,2019.0,MAY,20.0,Mon,5:00,5.0
480,2019.0,MAY,20.0,Mon,6:00,2.0
481,2019.0,MAY,20.0,Mon,7:00,1.0
482,2019.0,MAY,20.0,Mon,8:00,3.0
483,2019.0,MAY,20.0,Mon,9:00,12.0
484,2019.0,MAY,20.0,Mon,10:00,25.0
485,2019.0,MAY,20.0,Mon,11:00,32.0
486,2019.0,MAY,20.0,Mon,12:00,45.0
487,2019.0,MAY,20.0,Mon,13:00,34.0
488,2019.0,MAY,20.0,Mon,14:00,40.0
489,2019.0,MAY,20.0,Mon,15:00,58.0
490,2019.0,MAY,20.0,Mon,16:00,75.0
491,2019.0,MAY,20.0,Mon,17:00,68.0
492,2019.0,MAY,20.0,Mon,18:00,41.0
493,2019.0,MAY,20.0,Mon,19:00,27.0
494,2019.0,MAY,20.0,Mon,20:00,13.0
495,2019.0,MAY,20.0,Mon,21:00,0.0
496,2019.0,MAY,20.0,Mon,22:00,1.0
497,2019.0,MAY,20.0,Mon,23:00,1.0
498,2019.0,MAY,20.0,Mon,24:00,1.0
499,2019.0,MAY,20.0,Mon,Total,485.0
500,2019.0,MAY,21.0,Tues,1:00,0.0
501,2019.0,MAY,21.0,Tues,2:00,0.0
502,2019.0,MAY,21.0,Tues,3:00,0.0
503,2019.0,MAY,21.0,Tues,4:00,5.0
504,2019.0,MAY,21.0,Tues,5:00,40.0
505,2019.0,MAY,21.0,Tues,6:00,5.0
506,2019.0,MAY,21.0,Tues,7:00,4.0
507,2019.0,MAY,21.0,Tues,8:00,15.0
508,2019.0,MAY,21.0,Tues,9:00,27.0
509,2019.0,MAY,21.0,Tues,10:00,87.0
510,2019.0,MAY,21.0,Tues,11:00,83.0
511,2019.0,MAY,21.0,Tues,12:00,93.0
