Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),11: 10am (10am-11am),23,768,1270,3.1,3.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),12: 11am (11am-12noon),37,2900,2900,9.6,9.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),13: 12pm (12noon-1pm),7,737,737,1.2,1.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),14: 1pm (1pm-2pm),21,1816,2585,9.6,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),15: 2pm (2pm-3pm),17,21573,21573,288.1,288.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),16: 3pm (3pm-4pm),36,3866,3866,23.3,23.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),17: 4pm (4pm-5pm),11,1324,1324,5.8,5.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),18: 5pm (5pm-6pm),33,2142,2473,10.0,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),19: 6pm (6pm-7pm),26,2717,2717,7.8,7.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),20: 7pm (7pm-8pm),58,2090,2267,10.1,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),21: 8pm (8pm-9pm),25,1756,1756,6.7,6.7
