Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),8,295,295,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),2153,1166,1166,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),01: 12am (12am-1am),9,5027,5027,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),68,1156,1156,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),36,849,849,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),71,1684,1684,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),9,971,971,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),43,847,847,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),133,1023,1023,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),212,959,959,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),263,1065,1065,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),293,1395,1395,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),204,884,884,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),245,1333,1333,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),205,992,992,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),129,1514,1514,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),106,781,781,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),90,1244,1244,0.3,0.3
