Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),349,0.122,0.111,0.114,0.174,0.139,0.104,0.069,0.075,0.092,0.074,0.249,0.262,0.242,0.173,0.870,0.048,0.002,0.048,0.001,0.013,0.018,0.051,0.352,0.648,0.124,0.289,0.000,0.174,0.826
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),383,0.111,0.116,0.117,0.168,0.138,0.104,0.067,0.083,0.096,0.082,0.252,0.257,0.241,0.168,0.860,0.051,0.004,0.043,0.000,0.022,0.020,0.068,0.340,0.660,0.131,0.265,0.000,0.184,0.816
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),344,0.141,0.132,0.124,0.181,0.130,0.096,0.059,0.067,0.070,0.089,0.285,0.251,0.222,0.153,0.862,0.040,0.003,0.052,0.001,0.021,0.021,0.068,0.322,0.678,0.134,0.248,0.000,0.121,0.879
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),364,0.129,0.115,0.115,0.183,0.143,0.102,0.066,0.071,0.076,0.086,0.256,0.258,0.233,0.167,0.868,0.033,0.003,0.057,0.001,0.019,0.019,0.056,0.321,0.679,0.125,0.250,0.010,0.106,0.884
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),351,0.128,0.122,0.113,0.176,0.140,0.103,0.059,0.071,0.088,0.089,0.246,0.238,0.254,0.173,0.844,0.047,0.003,0.066,0.000,0.021,0.019,0.067,0.353,0.647,0.144,0.271,0.000,0.048,0.952
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),323,0.117,0.124,0.108,0.170,0.135,0.102,0.063,0.073,0.108,0.078,0.261,0.240,0.239,0.182,0.866,0.044,0.003,0.052,0.001,0.018,0.016,0.066,0.361,0.639,0.145,0.285,0.021,0.092,0.887
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),289,0.117,0.119,0.108,0.182,0.130,0.104,0.061,0.081,0.098,0.087,0.254,0.244,0.233,0.182,0.866,0.033,0.004,0.061,0.000,0.018,0.018,0.052,0.361,0.639,0.134,0.289,0.009,0.097,0.894
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),248,0.111,0.125,0.119,0.169,0.138,0.113,0.060,0.066,0.099,0.085,0.272,0.247,0.231,0.165,0.875,0.042,0.003,0.044,0.000,0.018,0.018,0.055,0.363,0.637,0.149,0.285,0.000,0.205,0.795
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),209,0.154,0.133,0.121,0.172,0.127,0.094,0.057,0.060,0.082,0.099,0.232,0.226,0.258,0.185,0.807,0.047,0.004,0.091,0.001,0.028,0.022,0.088,0.318,0.682,0.131,0.245,0.015,0.195,0.790
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),189,0.122,0.098,0.113,0.163,0.139,0.100,0.075,0.076,0.114,0.098,0.219,0.224,0.248,0.211,0.856,0.033,0.003,0.068,0.000,0.021,0.019,0.071,0.353,0.647,0.140,0.274,0.000,0.127,0.873
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),99,0.099,0.103,0.110,0.156,0.134,0.106,0.064,0.105,0.123,0.078,0.271,0.232,0.246,0.173,0.870,0.038,0.003,0.061,0.000,0.013,0.015,0.037,0.387,0.613,0.147,0.316,0.000,0.210,0.790
