Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),113,0.151,0.101,0.100,0.138,0.125,0.085,0.068,0.097,0.135,0.071,0.230,0.218,0.279,0.202,0.811,0.081,0.003,0.076,0.000,0.010,0.019,0.037,0.325,0.675,0.126,0.259,0.000,0.370,0.630
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),18,0.203,0.155,0.178,0.229,0.072,0.106,0.022,0.026,0.009,0.144,0.407,0.251,0.116,0.082,0.913,0.020,0.000,0.013,0.000,0.017,0.037,0.026,0.276,0.724,0.123,0.198,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),23: 10pm (10pm-11pm),18,0.114,0.116,0.148,0.142,0.168,0.146,0.056,0.068,0.042,0.110,0.234,0.262,0.241,0.153,0.749,0.032,0.002,0.186,0.000,0.016,0.015,0.047,0.283,0.717,0.129,0.208,0.000,0.464,0.536
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),24: 11pm (11pm-12am),9,0.099,0.113,0.116,0.098,0.108,0.121,0.067,0.150,0.128,0.100,0.177,0.155,0.323,0.245,0.870,0.006,0.000,0.095,0.000,0.023,0.006,0.043,0.231,0.769,0.085,0.184,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),00: All Day (12am-12am),2964,0.127,0.119,0.117,0.175,0.137,0.100,0.065,0.075,0.085,0.081,0.248,0.252,0.248,0.171,0.869,0.034,0.003,0.056,0.000,0.019,0.019,0.059,0.348,0.652,0.136,0.277,0.002,0.111,0.887
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),05: 4am (4am-5am),25,0.144,0.165,0.127,0.217,0.185,0.051,0.034,0.028,0.049,0.094,0.314,0.206,0.241,0.145,0.873,0.047,0.005,0.021,0.000,0.016,0.038,0.049,0.272,0.728,0.117,0.211,0.000,0.216,0.784
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),06: 5am (5am-6am),144,0.131,0.121,0.130,0.191,0.148,0.089,0.053,0.062,0.075,0.091,0.291,0.253,0.216,0.149,0.910,0.026,0.002,0.032,0.000,0.015,0.015,0.049,0.331,0.669,0.139,0.265,0.000,0.237,0.763
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),07: 6am (6am-7am),107,0.109,0.104,0.113,0.181,0.134,0.117,0.059,0.088,0.095,0.069,0.251,0.242,0.260,0.178,0.895,0.029,0.002,0.047,0.000,0.009,0.018,0.041,0.342,0.658,0.120,0.280,0.000,0.080,0.920
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),08: 7am (7am-8am),72,0.129,0.112,0.104,0.181,0.166,0.083,0.068,0.067,0.090,0.082,0.232,0.257,0.234,0.195,0.815,0.036,0.003,0.087,0.001,0.032,0.026,0.090,0.283,0.717,0.130,0.227,0.000,0.113,0.887
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),09: 8am (8am-9am),74,0.081,0.096,0.114,0.170,0.144,0.112,0.085,0.108,0.090,0.047,0.190,0.240,0.313,0.210,0.878,0.031,0.001,0.064,0.000,0.007,0.019,0.029,0.421,0.579,0.151,0.335,0.000,0.064,0.936
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),10: 9am (9am-10am),156,0.108,0.126,0.109,0.190,0.134,0.090,0.080,0.086,0.077,0.078,0.243,0.253,0.251,0.175,0.866,0.037,0.002,0.058,0.000,0.019,0.018,0.061,0.381,0.619,0.173,0.288,0.000,0.036,0.964
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),11: 10am (10am-11am),230,0.135,0.132,0.132,0.180,0.132,0.090,0.054,0.062,0.083,0.084,0.259,0.280,0.225,0.152,0.890,0.036,0.002,0.037,0.000,0.017,0.018,0.054,0.340,0.660,0.131,0.278,0.000,0.041,0.959
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),12: 11am (11am-12noon),266,0.122,0.125,0.124,0.182,0.128,0.100,0.062,0.077,0.080,0.086,0.250,0.261,0.244,0.159,0.886,0.027,0.002,0.053,0.000,0.014,0.018,0.042,0.348,0.652,0.144,0.276,0.000,0.034,0.966
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),13: 12pm (12noon-1pm),259,0.115,0.123,0.112,0.188,0.135,0.095,0.067,0.075,0.090,0.072,0.238,0.257,0.254,0.179,0.881,0.035,0.005,0.047,0.000,0.014,0.018,0.049,0.371,0.629,0.144,0.297,0.000,0.066,0.934
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),14: 1pm (1pm-2pm),249,0.129,0.121,0.111,0.181,0.137,0.100,0.066,0.081,0.074,0.087,0.261,0.244,0.244,0.164,0.903,0.017,0.007,0.038,0.000,0.015,0.020,0.058,0.339,0.661,0.124,0.274,0.000,0.065,0.935
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),15: 2pm (2pm-3pm),289,0.122,0.121,0.112,0.174,0.149,0.103,0.065,0.076,0.078,0.079,0.239,0.250,0.262,0.170,0.843,0.033,0.003,0.071,0.000,0.031,0.019,0.078,0.342,0.658,0.128,0.272,0.006,0.101,0.893
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),16: 3pm (3pm-4pm),265,0.153,0.121,0.118,0.175,0.134,0.098,0.055,0.070,0.076,0.087,0.245,0.242,0.253,0.173,0.845,0.039,0.003,0.067,0.000,0.028,0.018,0.073,0.313,0.687,0.128,0.249,0.010,0.066,0.924
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),17: 4pm (4pm-5pm),181,0.127,0.121,0.129,0.170,0.134,0.096,0.073,0.062,0.088,0.086,0.273,0.273,0.216,0.152,0.864,0.055,0.003,0.051,0.000,0.011,0.016,0.036,0.361,0.639,0.137,0.285,0.000,0.149,0.851
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),18: 5pm (5pm-6pm),164,0.109,0.104,0.090,0.146,0.120,0.116,0.073,0.096,0.146,0.064,0.221,0.243,0.276,0.196,0.886,0.019,0.002,0.061,0.000,0.014,0.018,0.049,0.376,0.624,0.135,0.304,0.000,0.102,0.898
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),19: 6pm (6pm-7pm),150,0.148,0.112,0.112,0.178,0.138,0.105,0.060,0.074,0.073,0.098,0.236,0.257,0.225,0.184,0.816,0.063,0.007,0.061,0.000,0.027,0.026,0.091,0.351,0.649,0.136,0.282,0.000,0.191,0.809
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),20: 7pm (7pm-8pm),171,0.140,0.117,0.123,0.173,0.116,0.103,0.062,0.069,0.097,0.087,0.257,0.231,0.255,0.170,0.835,0.027,0.003,0.085,0.000,0.028,0.022,0.068,0.351,0.649,0.145,0.277,0.000,0.191,0.809
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),21: 8pm (8pm-9pm),122,0.128,0.113,0.116,0.159,0.140,0.111,0.082,0.074,0.077,0.078,0.250,0.255,0.249,0.168,0.835,0.051,0.002,0.071,0.000,0.022,0.019,0.069,0.349,0.651,0.128,0.278,0.000,0.308,0.692
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),22: 9pm (9pm-10pm),25,0.091,0.091,0.134,0.174,0.170,0.133,0.078,0.061,0.068,0.089,0.234,0.316,0.236,0.125,0.951,0.028,0.006,0.007,0.000,0.004,0.004,0.021,0.426,0.574,0.165,0.342,0.000,0.275,0.725
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,5: Friday (F-F),23: 10pm (10pm-11pm),14,0.088,0.054,0.128,0.172,0.168,0.114,0.099,0.088,0.089,0.035,0.148,0.179,0.357,0.281,0.919,0.035,0.000,0.022,0.000,0.009,0.015,0.045,0.327,0.673,0.147,0.230,0.000,0.280,0.720
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),2983,0.128,0.117,0.113,0.176,0.140,0.102,0.066,0.076,0.082,0.085,0.255,0.255,0.239,0.166,0.844,0.048,0.004,0.066,0.000,0.019,0.019,0.063,0.348,0.652,0.136,0.275,0.001,0.126,0.873
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),2,0.180,0.085,0.067,0.140,0.145,0.286,0.043,0.020,0.034,0.122,0.398,0.197,0.181,0.102,0.613,0.003,0.000,0.369,0.000,0.003,0.012,0.020,0.281,0.719,0.134,0.194,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),151,0.119,0.100,0.104,0.165,0.132,0.107,0.087,0.090,0.096,0.087,0.243,0.267,0.234,0.169,0.851,0.043,0.002,0.070,0.001,0.014,0.019,0.057,0.362,0.638,0.136,0.281,0.016,0.233,0.751
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),161,0.110,0.117,0.100,0.173,0.153,0.107,0.067,0.083,0.090,0.080,0.228,0.249,0.265,0.178,0.884,0.028,0.002,0.055,0.000,0.014,0.017,0.053,0.329,0.671,0.125,0.267,0.000,0.138,0.862
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),51,0.077,0.089,0.105,0.175,0.142,0.115,0.098,0.117,0.082,0.063,0.255,0.223,0.280,0.179,0.800,0.040,0.001,0.129,0.000,0.014,0.016,0.079,0.415,0.585,0.179,0.332,0.000,0.052,0.948
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),65,0.101,0.111,0.113,0.164,0.149,0.102,0.066,0.091,0.103,0.058,0.238,0.250,0.250,0.204,0.832,0.051,0.001,0.082,0.000,0.016,0.018,0.042,0.355,0.645,0.155,0.273,0.000,0.018,0.982
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),135,0.113,0.116,0.105,0.177,0.135,0.104,0.083,0.081,0.086,0.080,0.236,0.265,0.240,0.179,0.883,0.026,0.003,0.056,0.001,0.016,0.015,0.068,0.362,0.638,0.131,0.300,0.000,0.014,0.986
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),225,0.124,0.106,0.114,0.179,0.160,0.112,0.065,0.071,0.069,0.094,0.269,0.256,0.235,0.146,0.831,0.054,0.003,0.066,0.000,0.026,0.020,0.078,0.361,0.639,0.139,0.287,0.000,0.050,0.950
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),211,0.144,0.137,0.112,0.178,0.137,0.094,0.058,0.065,0.075,0.067,0.265,0.246,0.250,0.172,0.867,0.024,0.002,0.076,0.000,0.014,0.017,0.049,0.308,0.692,0.119,0.245,0.000,0.029,0.971
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),286,0.135,0.122,0.129,0.178,0.129,0.093,0.060,0.076,0.078,0.091,0.265,0.252,0.231,0.161,0.833,0.050,0.007,0.071,0.000,0.020,0.019,0.064,0.316,0.684,0.127,0.243,0.000,0.036,0.964
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),297,0.141,0.123,0.111,0.179,0.133,0.100,0.055,0.076,0.082,0.079,0.279,0.269,0.210,0.163,0.873,0.032,0.004,0.064,0.001,0.008,0.018,0.036,0.340,0.660,0.129,0.272,0.000,0.080,0.920
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),287,0.135,0.135,0.118,0.179,0.145,0.098,0.062,0.060,0.068,0.086,0.279,0.277,0.221,0.137,0.855,0.045,0.004,0.053,0.001,0.022,0.020,0.071,0.347,0.653,0.132,0.274,0.000,0.103,0.897
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),243,0.145,0.123,0.117,0.177,0.135,0.108,0.063,0.065,0.067,0.095,0.276,0.259,0.227,0.143,0.897,0.028,0.003,0.034,0.001,0.019,0.018,0.064,0.335,0.665,0.136,0.261,0.000,0.148,0.852
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),236,0.117,0.100,0.106,0.164,0.139,0.106,0.070,0.084,0.114,0.074,0.222,0.242,0.252,0.210,0.850,0.056,0.007,0.050,0.000,0.016,0.021,0.056,0.382,0.618,0.149,0.304,0.000,0.102,0.898
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),197,0.124,0.121,0.104,0.169,0.141,0.104,0.070,0.071,0.096,0.097,0.231,0.247,0.262,0.163,0.829,0.056,0.004,0.056,0.001,0.034,0.020,0.088,0.346,0.654,0.142,0.273,0.000,0.144,0.856
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),139,0.118,0.114,0.132,0.169,0.131,0.086,0.068,0.100,0.082,0.091,0.219,0.246,0.253,0.191,0.764,0.080,0.003,0.099,0.000,0.026,0.028,0.089,0.364,0.636,0.135,0.293,0.000,0.069,0.931
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),136,0.135,0.102,0.110,0.172,0.153,0.108,0.066,0.085,0.069,0.085,0.248,0.242,0.250,0.175,0.794,0.071,0.004,0.092,0.000,0.019,0.020,0.062,0.376,0.624,0.156,0.290,0.000,0.318,0.682
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),119,0.142,0.113,0.107,0.182,0.143,0.100,0.067,0.070,0.076,0.102,0.258,0.254,0.241,0.145,0.753,0.109,0.002,0.087,0.000,0.033,0.016,0.081,0.362,0.638,0.146,0.291,0.000,0.410,0.590
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),20,0.084,0.130,0.099,0.194,0.109,0.113,0.071,0.096,0.104,0.070,0.337,0.217,0.240,0.136,0.924,0.009,0.002,0.053,0.000,0.002,0.010,0.021,0.329,0.671,0.116,0.266,0.000,0.648,0.352
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),18,0.071,0.071,0.143,0.169,0.163,0.068,0.099,0.107,0.109,0.049,0.192,0.288,0.274,0.197,0.888,0.036,0.008,0.045,0.000,0.008,0.015,0.052,0.357,0.643,0.147,0.286,0.000,0.535,0.465
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,6: Saturday (Sa-Sa),24: 11pm (11pm-12am),2,0.227,0.208,0.173,0.192,0.134,0.048,0.011,0.001,0.006,0.108,0.496,0.262,0.079,0.055,0.996,0.000,0.001,0.000,0.000,0.000,0.003,0.007,0.254,0.746,0.052,0.231,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),00: All Day (12am-12am),2777,0.134,0.124,0.116,0.170,0.133,0.096,0.064,0.073,0.090,0.086,0.250,0.248,0.239,0.177,0.846,0.046,0.003,0.066,0.000,0.019,0.020,0.061,0.338,0.662,0.135,0.266,0.000,0.123,0.877
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),05: 4am (4am-5am),22,0.090,0.163,0.105,0.176,0.162,0.110,0.051,0.082,0.061,0.095,0.277,0.240,0.215,0.173,0.917,0.039,0.001,0.011,0.000,0.007,0.025,0.017,0.362,0.638,0.134,0.286,0.000,0.220,0.780
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),06: 5am (5am-6am),149,0.153,0.139,0.115,0.156,0.138,0.101,0.061,0.068,0.069,0.091,0.249,0.260,0.226,0.174,0.836,0.067,0.003,0.050,0.000,0.022,0.022,0.063,0.342,0.658,0.145,0.254,0.000,0.229,0.771
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),07: 6am (6am-7am),91,0.124,0.103,0.099,0.170,0.145,0.099,0.066,0.090,0.104,0.078,0.249,0.239,0.243,0.191,0.828,0.046,0.003,0.085,0.000,0.017,0.021,0.049,0.369,0.631,0.151,0.288,0.000,0.196,0.804
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),08: 7am (7am-8am),50,0.205,0.116,0.089,0.145,0.127,0.078,0.072,0.081,0.087,0.096,0.258,0.187,0.257,0.202,0.734,0.110,0.002,0.108,0.000,0.017,0.029,0.052,0.257,0.743,0.111,0.186,0.000,0.264,0.736
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),09: 8am (8am-9am),65,0.142,0.139,0.136,0.150,0.119,0.101,0.066,0.082,0.065,0.125,0.237,0.230,0.238,0.170,0.768,0.076,0.002,0.088,0.001,0.044,0.021,0.087,0.346,0.654,0.136,0.263,0.000,0.088,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),10: 9am (9am-10am),119,0.110,0.128,0.099,0.183,0.165,0.104,0.067,0.056,0.088,0.080,0.250,0.251,0.258,0.161,0.893,0.029,0.005,0.037,0.000,0.011,0.025,0.042,0.311,0.689,0.125,0.244,0.000,0.066,0.934
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),11: 10am (10am-11am),208,0.124,0.117,0.123,0.172,0.130,0.104,0.066,0.074,0.090,0.106,0.251,0.235,0.229,0.179,0.851,0.046,0.006,0.048,0.000,0.029,0.020,0.086,0.349,0.651,0.137,0.288,0.000,0.093,0.907
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),12: 11am (11am-12noon),236,0.136,0.130,0.119,0.190,0.131,0.094,0.058,0.064,0.078,0.088,0.270,0.262,0.221,0.159,0.869,0.037,0.003,0.055,0.001,0.015,0.020,0.063,0.342,0.658,0.141,0.269,0.000,0.047,0.953
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),231,0.131,0.128,0.121,0.170,0.122,0.096,0.062,0.071,0.099,0.085,0.254,0.233,0.240,0.188,0.845,0.041,0.002,0.082,0.000,0.015,0.015,0.058,0.309,0.691,0.125,0.244,0.000,0.056,0.944
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),228,0.154,0.132,0.111,0.172,0.135,0.086,0.062,0.060,0.088,0.083,0.281,0.246,0.226,0.164,0.851,0.053,0.003,0.051,0.001,0.020,0.021,0.064,0.333,0.667,0.133,0.262,0.000,0.022,0.978
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),256,0.116,0.118,0.124,0.172,0.137,0.097,0.068,0.072,0.096,0.087,0.219,0.251,0.255,0.188,0.848,0.035,0.004,0.067,0.000,0.027,0.019,0.073,0.331,0.669,0.139,0.256,0.000,0.058,0.942
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),249,0.167,0.155,0.124,0.182,0.124,0.080,0.052,0.059,0.057,0.087,0.299,0.266,0.199,0.149,0.859,0.057,0.004,0.048,0.000,0.011,0.021,0.048,0.296,0.704,0.112,0.234,0.000,0.090,0.910
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),260,0.134,0.114,0.113,0.170,0.137,0.098,0.062,0.073,0.099,0.083,0.246,0.249,0.247,0.175,0.884,0.037,0.003,0.044,0.000,0.015,0.017,0.040,0.362,0.638,0.140,0.293,0.000,0.162,0.838
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),169,0.111,0.104,0.118,0.153,0.128,0.097,0.065,0.097,0.127,0.072,0.202,0.248,0.281,0.197,0.808,0.034,0.003,0.103,0.000,0.026,0.026,0.087,0.385,0.615,0.158,0.296,0.000,0.139,0.861
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),170,0.125,0.128,0.133,0.184,0.130,0.097,0.061,0.064,0.078,0.082,0.242,0.247,0.239,0.190,0.867,0.045,0.003,0.048,0.000,0.018,0.019,0.057,0.306,0.694,0.119,0.241,0.000,0.148,0.852
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),115,0.139,0.105,0.090,0.149,0.126,0.105,0.089,0.084,0.113,0.066,0.222,0.260,0.269,0.183,0.810,0.043,0.003,0.114,0.000,0.011,0.019,0.048,0.380,0.620,0.156,0.298,0.000,0.100,0.900
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),129,0.110,0.111,0.111,0.152,0.139,0.103,0.064,0.100,0.110,0.072,0.243,0.255,0.253,0.177,0.808,0.047,0.002,0.107,0.000,0.017,0.019,0.068,0.372,0.628,0.137,0.300,0.000,0.380,0.620
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),16,0.134,0.160,0.127,0.203,0.169,0.068,0.062,0.041,0.036,0.110,0.381,0.310,0.129,0.070,0.928,0.041,0.002,0.010,0.000,0.009,0.010,0.025,0.327,0.673,0.136,0.263,0.000,0.423,0.577
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,7: Sunday (Su-Su),23: 10pm (10pm-11pm),14,0.073,0.078,0.117,0.158,0.133,0.124,0.081,0.111,0.125,0.062,0.184,0.191,0.247,0.316,0.855,0.033,0.000,0.093,0.000,0.011,0.008,0.040,0.328,0.672,0.134,0.261,0.000,0.338,0.662
