Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),111,2655,2685,18.4,18.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),273,2789,2874,16.2,16.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1013,3195,3306,18.7,19.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),570,3230,3324,20.8,21.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),148,3030,3058,18.4,18.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),0: All Day (12am-12am),1436,2861,2953,16.8,17.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),1: Early AM (12am-6am),123,2357,2377,15.1,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),2: Peak AM (6am-10am),148,2829,2936,16.1,16.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),592,3040,3105,18.1,18.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),456,2932,3069,16.9,17.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,0: All Days (M-Su),5: Late PM (7pm-12am),117,2684,2779,14.1,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),0: All Day (12am-12am),1317,2676,2782,14.4,15.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),1: Early AM (12am-6am),101,2270,2280,14.1,14.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),151,2661,2801,13.8,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),529,2826,2910,15.2,15.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),429,2714,2874,14.6,15.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),107,2523,2627,12.4,13.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1633,3161,3232,20.2,20.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),164,2455,2479,16.3,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),161,3057,3107,20.3,20.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),706,3411,3447,22.4,22.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),479,3281,3397,20.5,20.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,service / 128570327 / 1,yes,19,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),124,2939,2995,16.2,16.5
