,Day Type,Day Part,Avg Trip Time (min),Month,Year,Month.1,Day,Time,Check_Flag,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
100,1: Monday (M-M),16: 3pm (3pm-4pm),33.1,May,21.0,5.0,1.0,15.0,215115,57.11800000000001,55.251999999999995,51.724000000000004,61.364,1019.0,57.8,5.08,7.036,11.996666666666668
101,1: Monday (M-M),17: 4pm (4pm-5pm),15.16666667,May,21.0,5.0,1.0,16.0,215116,57.882000000000005,56.068000000000005,51.928,61.964,1018.6,57.4,3.3,6.0120000000000005,11.333333333333334
102,1: Monday (M-M),19: 6pm (6pm-7pm),27.9,May,21.0,5.0,1.0,18.0,215118,58.26499999999999,56.68833333333333,53.211666666666666,62.458333333333336,1017.8333333333334,61.666666666666664,0.5,8.159999999999998,7.806
103,1: Monday (M-M),06: 5am (5am-6am),47.5,May,21.0,5.0,1.0,5.0,21515,48.05833333333334,46.06,45.419999999999995,50.435,1018.3333333333334,77.83333333333333,0.5,5.321666666666666,5.198
104,2: Tuesday (Tu-Tu),00: All Day (12am-12am),19.68333333,May,21.0,5.0,2.0,-1.0,2152-1,52.08278351,49.86474227,48.85175258,55.36371134,1015.824742,71.1443299,16.16,9.123402062,15.0484507
105,2: Tuesday (Tu-Tu),05: 4am (4am-5am),7.616666667,May,21.0,5.0,2.0,4.0,21524,47.445,45.235,45.1425,49.5075,1017.5,75.25,1.27,7.057499999999999,11.000000000000002
106,2: Tuesday (Tu-Tu),10: 9am (9am-10am),14.23333333,May,21.0,5.0,2.0,9.0,21529,46.245000000000005,44.385000000000005,43.83,48.64999999999999,1016.25,81.25,0.51,6.75,15.666666666666666
107,2: Tuesday (Tu-Tu),11: 10am (10am-11am),15.13333333,May,21.0,5.0,2.0,10.0,215210,46.552499999999995,43.78,44.402499999999996,48.7675,1016.25,81.0,0.25,8.2,9.7475
108,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),6.516666667,May,21.0,5.0,2.0,14.0,215214,54.6475,53.0175,51.14,58.6725,1016.0,68.25,0.0,7.225,12.003333333333336
109,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),38.75,May,21.0,5.0,2.0,15.0,215215,56.385000000000005,54.855000000000004,52.1325,61.18000000000001,1015.75,66.75,0.0,8.745,18.999999999999996
110,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),6.066666667,May,21.0,5.0,2.0,17.0,215217,59.0025,57.487500000000004,53.480000000000004,65.095,1014.5,61.25,0.0,11.335,17.336666666666666
111,3: Wednesday (W-W),00: All Day (12am-12am),15.1,May,21.0,5.0,3.0,-1.0,2153-1,52.9575,50.6426,49.6994,56.6982,1014.03,70.81,19.26,7.9717,10.52931507
112,3: Wednesday (W-W),05: 4am (4am-5am),12.33333333,May,21.0,5.0,3.0,4.0,21534,49.3325,46.93,46.8125,53.1075,1014.0,76.5,0.0,6.62,10.0
113,3: Wednesday (W-W),10: 9am (9am-10am),14.23333333,May,21.0,5.0,3.0,9.0,21539,47.3575,43.964999999999996,44.9325,50.165000000000006,1014.25,78.0,0.0,9.032499999999999,12.489999999999998
114,3: Wednesday (W-W),11: 10am (10am-11am),19.8,May,21.0,5.0,3.0,10.0,215310,47.917500000000004,44.645,45.5725,50.4125,1014.5,77.25,0.51,7.5024999999999995,9.254999999999999
115,3: Wednesday (W-W),15: 2pm (2pm-3pm),38.05,May,21.0,5.0,3.0,14.0,215314,56.67,55.0875,52.9925,61.3675,1015.25,66.5,1.65,7.0,10.5025
116,3: Wednesday (W-W),16: 3pm (3pm-4pm),22.51666667,May,21.0,5.0,3.0,15.0,215315,58.8375,57.4175,54.84,63.33,1015.25,60.5,1.9,8.9125,11.670000000000002
117,3: Wednesday (W-W),19: 6pm (6pm-7pm),24.03333333,May,21.0,5.0,3.0,18.0,215318,56.98,55.034000000000006,53.486000000000004,61.698,1013.2,65.8,0.5,9.556,12.71
118,3: Wednesday (W-W),06: 5am (5am-6am),8.3,May,21.0,5.0,3.0,5.0,21535,49.365,47.03,46.2025,52.4025,1014.0,74.5,0.0,7.345,7.505
119,3: Wednesday (W-W),04: 3am (3am-4am),19.65,May,21.0,5.0,3.0,3.0,21533,49.690000000000005,47.519999999999996,46.974999999999994,52.692499999999995,1013.75,74.5,0.0,5.5874999999999995,7.005
120,4: Thursday (Th-Th),00: All Day (12am-12am),25.58333333,May,21.0,5.0,4.0,-1.0,2154-1,53.73123711,52.14216495,50.22546392,57.41463918,1015.804124,73.10309278,10.75,6.879587629,8.809135802
121,4: Thursday (Th-Th),10: 9am (9am-10am),23.23333333,May,21.0,5.0,4.0,9.0,21549,46.4025,45.13999999999999,42.4425,50.287499999999994,1015.0,91.0,0.25,3.435,5.0
122,4: Thursday (Th-Th),13: 12pm (12noon-1pm),18.43333333,May,21.0,5.0,4.0,12.0,215412,52.4525,50.9325,49.385,55.989999999999995,1016.25,85.75,0.42,4.7575,4.993333333333333
