Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),73,0.074,0.114,0.071,0.157,0.127,0.112,0.087,0.087,0.171,0.062,0.222,0.253,0.284,0.179,0.929,0.021,0.002,0.029,0.000,0.011,0.008,0.081,0.376,0.624,0.168,0.269,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),50,0.109,0.085,0.047,0.207,0.129,0.093,0.095,0.120,0.115,0.039,0.151,0.205,0.356,0.249,0.889,0.011,0.001,0.062,0.001,0.019,0.017,0.056,0.156,0.844,0.050,0.112,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),40,0.137,0.160,0.193,0.175,0.128,0.092,0.052,0.030,0.033,0.118,0.286,0.324,0.179,0.093,0.904,0.039,0.006,0.012,0.002,0.013,0.024,0.138,0.266,0.734,0.059,0.243,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),87,0.181,0.135,0.081,0.143,0.154,0.115,0.046,0.061,0.084,0.180,0.267,0.231,0.188,0.134,0.786,0.009,0.004,0.087,0.000,0.085,0.029,0.216,0.388,0.612,0.171,0.303,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),76,0.083,0.144,0.162,0.163,0.161,0.121,0.054,0.059,0.053,0.096,0.298,0.259,0.226,0.121,0.841,0.053,0.006,0.029,0.001,0.030,0.040,0.105,0.325,0.675,0.138,0.228,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),136,0.118,0.122,0.140,0.151,0.138,0.129,0.078,0.072,0.052,0.099,0.284,0.237,0.189,0.191,0.833,0.043,0.005,0.093,0.000,0.001,0.025,0.049,0.282,0.718,0.096,0.221,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),56,0.133,0.158,0.168,0.170,0.080,0.076,0.018,0.109,0.088,0.100,0.320,0.186,0.260,0.134,0.857,0.014,0.004,0.076,0.000,0.020,0.029,0.099,0.348,0.652,0.139,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),131,0.168,0.171,0.132,0.238,0.120,0.075,0.054,0.022,0.020,0.114,0.269,0.263,0.237,0.117,0.869,0.054,0.002,0.029,0.001,0.030,0.015,0.063,0.240,0.760,0.123,0.164,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),74,0.133,0.051,0.102,0.209,0.103,0.143,0.062,0.056,0.141,0.045,0.206,0.239,0.257,0.253,0.851,0.022,0.001,0.099,0.000,0.008,0.019,0.054,0.355,0.645,0.163,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),92,0.066,0.151,0.135,0.324,0.114,0.063,0.050,0.061,0.036,0.184,0.339,0.263,0.139,0.075,0.783,0.095,0.004,0.060,0.000,0.034,0.024,0.103,0.327,0.673,0.134,0.261,0.000,0.000,1.000
